tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-500,Halle,Grass,32,A,20000612,027,102021,,,Michael Chang,R,175,USA,28.3039014374,28,978,103819,,,Roger Federer,R,185,SUI,18.8446269678,38,859,7-5 6-2,3,QF,71,3,2,61,32,22,18,10,3,4,8,3,60,36,26,9,10,4,8
2000-500,Halle,Grass,32,A,20000612,011,103819,,,Roger Federer,R,185,SUI,18.8446269678,38,859,103096,,,Arnaud Clement,R,173,FRA,22.4859685147,57,674,6-4 6-2,3,R32,69,3,4,56,37,29,8,9,0,2,2,6,59,22,14,16,9,7,12
2000-741,Nottingham,Grass,32,A,20000619,013,101735,,,Richard Fromberg,R,196,AUS,30.1437371663,71,577,103819,7,,Roger Federer,R,185,SUI,18.8637919233,35,914,7-5 6-1,3,R32,67,11,2,65,40,34,11,10,2,2,3,4,62,41,25,10,9,7,10
2000-540,Wimbledon,Grass,128,G,20000626,033,102338,5,,Yevgeny Kafelnikov,R,190,RUS,26.3518138261,5,3016,103819,,,Roger Federer,R,185,SUI,18.8829568789,35,914,7-5 7-5 7-6(6),5,R128,128,13,9,122,73,55,23,18,5,8,10,2,115,67,43,28,18,2,7
2000-314,Gstaad,Clay,32,A,20000710,001,102374,1,,Alex Corretja,R,180,ESP,26.2477754962,10,1860,103819,,,Roger Federer,R,185,SUI,18.9212867899,39,911,6-4 4-6 6-4,3,R32,137,8,7,96,50,39,25,15,8,10,8,5,116,63,43,26,15,7,10
2000-D056,Davis Cup WG PO: SUI vs BLR,Carpet,4,D,20000721,2,103819,,,Roger Federer,R,185,SUI,18.9404517454,39,911,103166,,,Vladimir Voltchkov,R,180,BLR,22.2778918549,69,604,4-6 7-5 7-6(1) 5-7 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2000-421,Canada Masters,Hard,64,M,20000731,008,103720,7,,Lleyton Hewitt,R,180,AUS,19.4305270363,10,1945,103819,,,Roger Federer,R,185,SUI,18.9787816564,38,911,3-6 6-3 6-2,3,R64,119,8,3,83,38,33,21,13,4,6,15,2,101,52,37,21,13,7,11
2000-422,Cincinnati Masters,Hard,64,M,20000807,026,101532,,,Francisco Clavet,L,183,ESP,31.7864476386,43,829,103819,,,Roger Federer,R,185,SUI,18.9979466119,39,902,7-6(3) 7-6(4),3,R64,100,2,2,87,51,41,20,12,5,6,7,6,89,56,42,15,12,3,4
2000-419,Indianapolis,Hard,56,A,20000814,023,102872,,,James Sekulov,R,180,AUS,23.8357289528,191,193,103819,,,Roger Federer,R,185,SUI,19.0171115674,40,892,6-4 7-5,3,R64,82,2,3,63,37,28,13,11,2,4,2,5,72,38,27,14,11,6,10
2000-560,US Open,Hard,128,G,20000828,083,103819,,,Roger Federer,R,185,SUI,19.0554414784,40,892,102110,,,Daniel Nestor,L,190,CAN,27.9808350445,307,99,6-1 7-6(5) 6-1,5,R64,92,15,1,88,55,48,18,14,4,4,7,4,77,54,33,10,12,4,8
